rating,reviews,company,province,parsed_date,processed_reviews
2,"Super long delivery, different from other express which is lightning fast 😬😬
If JNE works like this, it will definitely not sell, aka it will go bankrupt 😬
4 days still on standby in Padang, even though I paid directly... very disappointed with the service 🙂‍↔️🥴 …",JNE,Aceh,2024-12-20,kirim super lama beda express cepat kilat jne tidak laku alias bangkrut standby padang bayar langsung kecewa layan
1,"2 times an order was sent via JNE, the first package arrived on time because it was COD
The second package is non-COD, the delivery is always delayed for 2 days, even …",JNE,Aceh,2024-11-20,kali order kirim jne paket tepat waktu cod paket non cod kirim tunda
1,"Look at the tracking. My order was delivered on the 17th, but after that it said ""I am rescheduling delivery to the address"".. FYI, I never asked to delay delivery, why did it arrive unilaterally and delay delivery?? Meanwhile, now it's the 19th, there's still no clarity..",JNE,Aceh,2024-12-22,lihat lacak pesan antar tanggal muncul tulis reschedule kirim alamat fyi tidak tunda kirim sampai tunda kirim tanggal belum jelas
2,"Several times it was a hassle, the position of the package was not clear where it was and the delivery was late",JNE,Aceh,2025-01-16,kali repot posisi paket tidak di mana kirim lambat
1,"Taking too lightly a shipment of small value, the goods sent did not arrive at the destination address, disappointing",JNE,Aceh,2024-12-20,anggap remeh kirim nila barang kirim tidak alamat tuju kecewa
1,"Worst JNe service ever, to this day my package hasn't arrived. Very disappointing",JNE,Aceh,2024-12-20,layan jne buruk paket belum kecewa
2,"It's so bad now. Delivery service from Medan - Padang (YES plus insurance) has not arrived for 3 days. I've been asking back and forth, JNE Nipah and also JNE ARU / Lubeg. …",JNE,Aceh,2023-01-20,buruk jasa kirim medan padang ya plus asuransi belum bolak jne nipah jne aru lubeg
2,"We deliberately came to the office (H+2) to ensure that the monitored package position did not move in the application, even though we had paid for the package to be delivered one day. …",JNE,Aceh,2023-01-20,sengaja kantor h posisi paket pantau tidak pindah pindah aplikasi bayar paket antar
1,"JNE is bad, my package hasn't arrived yet, even though it said it only took 1 day but it hasn't arrived for 5 even though I've already paid for it, that's very disappointing",JNE,Aceh,2024-07-23,jne jelek paket belum belum bayar kecewa
5,"You can also use JNE. There are a lot of CS but there are lots of empty staff too, maybe because it's a week, that could be the case. …",JNE,Aceh,2019-01-21,jne csnya kosong minggu
4,"JNE West Sumatra Branch is the control center for all JNE outlets in West Sumatra. In this place the branch leader will control all existing outlets. Good job, West Sumatra District Head. May you always be healthy and successful....",JNE,Aceh,2021-01-20,jne cabang sumatera barat pusat kendali outlet jne sumatera barat pimpin cabang kontrol outlet kerja bagus bupati sumbar moga sehat sukses
1,"very ugly jne!!! Cook Jne Yes delivery which has to arrive in 1 day, so 1 week there is no compensation either👎👎 …",JNE,Aceh,2024-06-23,jne jelek masak kirim jne yes minggu tidak kompensasi
1,"I've given up on using JNE services, it's taking too long... the officer said 4 days, it's taking a long time, but instead it's 5 days, the address on the package isn't written any more, the courier is confused about delivering the package, …",JNE,Aceh,2024-03-25,kapok pakai jasa jne lama banget tugas lama banget alamat paket tidak tulis kurir bingung antar paket
1,"G took good responsibility, didn't even respond, the package was detained but has been detained for 4 days, even though it arrived quickly from Jakarta, but instead it was detained",JNE,Aceh,2024-06-23,g tanggung tidak direspon paket tahan tahan cepat jakarta tahan
1,"SEVERE SERVICE.. CHOOSE 1 DAY DELIVERY BUT IT'S BEEN 3 DAYS AND IT'S NOT ARRIVED. CS WAS CALLED 2X TO COMPLAIN 2X, JUST DISCONTINUED WHEN ASKED FOR CLARITY. EVEN 1 STAR IS NOT WORTH THE SERVICE!!!",JNE,Aceh,2024-06-23,layan parah pilih kirim belum cs panggil x komplain x henti clarity bintang tidak layak layan
1,"IF THERE IS 0 STARS I WILL GIVE YOU 0 STARS. The package arrived at the warehouse on the 10th at 20.32. At 21, we were contacted that we would pick up the package because we needed it for an event on the 11 at 10.00. But it turned out that …",JNE,Aceh,2024-01-20,bintang bintang paket gudang tanggal jam jam hubung ambil paket butuh acara tanggal jam
1,"It's really bad, my package delivery was estimated to take 2 days, now it's been a week and it hasn't arrived yet... what's the service like if it's like this, what's the difference between express, okay, regular... pay a lot of money, the postage takes a long time",JNE,Aceh,2024-01-20,parah banget kirim paket minggu belum layan gimana beda express ya reguler bayar ongkos kirim lama
1,"Usually JNE is fast and on time, why is it now delayed, the food didn't arrive, I'm afraid it won't taste good anymore because the payment is already expensive, really disappointed",JNE,Aceh,2024-03-25,jne cepat tepat waktu tunda makan tidak takut tidak enak bayar mahal kecewa banget
5,"The staff were friendly, especially when sending packages for pious children who had to be received the next day... …",JNE,Aceh,2024-01-20,pegawai ramah ramah kirim paket anak anak shaleh terima esok hari
1,"Is this JNE working or not? My food delivery, you know, has been stuck since the 2nd here. You think that food can go stale over time in a cardboard box. I'm using Express, at least it's running. It hasn't been sent since the 2nd. What are you doing sleeping?",JNE,Aceh,2024-01-20,jne fungsi tidak pesan makan lho stuck tanggal makan basi iring waktu kotak karton express jalan tanggal belum kirim laku tidur
5,"Today I sent goods via JNE, and the service is quite good, hopefully it can be maintained, even improved.",JNE,Aceh,2017-01-21,kirim barang jne layan moga tahan tingkat
1,"How come this expedition wasn't ready? The delivery took a really long time, it was a holiday, even a holiday when the delivery was delivered to the outlet to pick it up yourself but it was rejected. It's funny indeed. Unlike the other expedition which prioritizes service and customer satisfaction, the delivery is always on time.",JNE,Aceh,2024-01-20,ekspedisi belum kirim lama banget pas libur libur kirim antar outlet ambil tolak lucu beda ekspedisi utama layan puas langgan kirim tepat waktu
1,"In my opinion, the expedition was the slowest.. even from West Sumatra, it took 4 days before it arrived.. usually JNT takes 1 day to arrive.. I don't know if the JNE people are working or not..",JNE,Aceh,2024-01-20,turut ekspedisi lambat sumbar jnt nyampenya orang jne nya kerja tidak
1,"Wow, I sent you the package, what are you doing, pick it up or not, you're going to deliver it, you're just joking, you lizard",JNE,Aceh,2024-11-20,kirim paket ngapain ambil tidak canda cicak
5,The waiting area is spacious and comfortable. Fast and friendly service,JNE,Aceh,2023-01-20,ruang tunggu luas nyaman layan cepat ramah
1,"I'm tired of using JNE delivery service, it's really slow. My package has been in Padang for 5 days, even though the destination is only Pariaman City",JNE,Aceh,2024-04-24,bosan pake jasa kirim jne lambat banget paket padang tuju kota pariaman
1,My package didn't arrive until it was already late... it was estimated to be the 12th and now it hasn't arrived... very disappointed with using JNE...👎 …,JNE,Aceh,2024-03-25,paket tidak telat tanggal belum kecewa banget pakai jne
1,"Worst expedition. The delivery took a really long time, and the postage was very expensive",JNE,Aceh,2024-06-23,ekspedisi buruk kirim lama ongkos kirim mahal
1,"Disappointed with JNE, it took a long time to arrive, in the future I will just use the services of the other expedition",JNE,Aceh,2024-03-25,kecewa jne lama sampai depan pakai jasa ekspedisi
1,"If there were 0 stars, I would give JNE 0 stars, when I read it, there were already lots of 1 stars for JNE too. It's true that the delivery courier was really wrong. It's been sent to the wrong address, it's been handed over to who knows …",JNE,Aceh,2024-01-20,bintang kasih jne bintang pas baca bintang jne kurir kirim salah kirim alamat salah serah
1,"JNE Idiot, I bought goods online using JNE's next day expedition
but the courier didn't confirm at all that my package was received by someone whose name I don't know and the package wasn't in my hands, please, if you don't …",JNE,Aceh,2024-01-20,jne bodoh beli barang online ekspedisi jne esok hari kurir tidak konfirmasi paket terima tidak nama paket tidak tangan mohon tidak
2,"The experience I had, today, exactly 10-10-2022, I sent a car registration from Medan to Padang using express, which the JNE officer estimated that it would take 1 day to arrive. Because we were in a hurry to pay the car tax in Padang, we …",JNE,Aceh,2023-01-20,alam alami tepat tanggal kirim stnk medan padang express tugas jne waktu buru buru bayar pajak mobil padang
1,"What happened to this? My package from the 6th was stuck at Jne Nipah without explanation, even though the status on maps was that it was open Saturday and Sunday but why was the package stuck for 2 days like this?? …",JNE,Aceh,2024-01-20,paket tanggal stuck jne nipah jelas status map buka sabtu minggu paket stuck
1,"Stupid expedition, isn't the courier trained? Why do you behave like a bitch? I don't know the address, the person asked, there was a telephone number listed, when I got home I even shouted at my parents, deserved a low rating, stupid service that sent me a bad cake",JNE,Aceh,2024-01-20,ekspedisi bodoh kurir latih sikap perempuan jalang alamat orang nomor telpon tera sampa rumah teriak orang tua rating rendah layan bodoh kirim kue jelek
1,"This also seems stupid. Rock. There's been so much criticism. But ignored. Just because you feel like other people need it. For the umpteenth time, cargo delivery was really slow. This is already past the estimated acceptance limit.",JNE,Aceh,2024-01-20,kes bodoh batu kritik abai orang butuh sekian kali kirim kargo lambat lewat kira batas terima
1,"I swear, this is the slowest expedition I've ever used, the package has been sitting for 3 days and hasn't been sent, calling CS is also useless",JNE,Aceh,2024-01-20,sumpah ekspedisi lambat pakai paket tahan belum kirim telpon cs
1,"Bad Service Really disappointed, yes, the package arrived on April 5 2023 until the JNE Padang counter, and until now April 8 2023 it hasn't arrived at my place and this has already passed the jtr limit which is said to be 7-8 days. and …",JNE,Aceh,2024-01-20,layan buruk kecewa banget ya paket tanggal april counter jne padang tanggal april belum lewat batas jtr
5,"Already subscribed to JNE..the goods we sent were safe and intact...delivery was right on schedule..all in all, JNE is good...never disappointed....",JNE,Aceh,2024-01-20,langgan jne barang kirim aman utuh kirim tepat jadwal all in all jne bagus tidak kecewa
5,Service is very friendly and good,JNE,Aceh,2024-12-20,layan ramah
2,"2 stars is more than enough for JNE CARGO.
The process took too long, the courier was slow.
Cooking in Jakarta Padang can take 2 weeks.
Packages to PasBar always last 2-3 days in Nipah.",JNE,Aceh,2024-01-20,bintang jne cargo proses lama kurir lambat masak jakarta padang makan waktu minggu paket pasbar tahan nipah
5,"Good service, thank you to JNE Padang, the customer service is really good, thank you to Mr Fahmi and Mr Doni, the call center officers 👍👍👍 providing concise and clear information, so that we as customers feel very helped to ensure our …",JNE,Aceh,2024-01-20,layan bagus terima kasih jne padang customer servicenya terima kasih fahmi doni tugas call centernya informasi ringkas langgan bantu
1,"Please, JNE, how about this? My package has arrived in Padang since November 29th but it hasn't moved to the destination address until now it's been 3 days... very disappointing. …",JNE,Aceh,2023-01-20,tolong jne paket padang tanggal november belum alamat tuju kecewa
1,"Kurirnya ga sopan. Kronologisnya, kurir nelpon sy 6 kali dengan rentang waktu 1 menit tiap telepon, sy saat itu tidak lg pegang hp krn sedang kerja. Waktu sy telpon balik 10 menit kemudian katanya tidak bsa antar paket lagi krn dia tidak …",JNE,Aceh,2024-07-23,kurir tidak sopan kronologis kurir nelpon sy kali rentang waktu menit telepon sy tidak lg pegang hp krn kerja waktu sy telpon menit tidak bsa paket krn tidak
1,"Muak dengan kinerja JNE Banda Aceh. Di tracking disebutkan barang sedang diantar kurir, dua hari berturut2. Waktu kantornya saya datangi, tiba2 secara ajaib barang keluar dari gudang dalam 1 menit. Trus yg diantar kurir apa? Tuyul? Kejadian …",JNE,Aceh,2021-01-20,muak kerja jne banda aceh tracking barang antar kurir waktu kantor datang ajaib barang gudang menit trus yg antar kurir tuyul jadi
1,"Jne sampah, kerjanya apa si cmn tgl ngantar kan brg aja di tahan"" ,udh express juga,karna org perlu cepat ini ditahan tahan ,udah la paketnya isinya mahal",JNE,Aceh,2024-07-23,jne sampah kerja si cmn tgl ngantar brg tahan udh express karna org cepat tahan tahan la paket isi mahal
1,"Di trucking paket sudah diterima,, foto alamat ntah dmna"" gak sesuai sama alamat yg sudah saya terakan..
Padahal alamat sudah jelas kantor daihatsu …",JNE,Aceh,2024-03-25,trucking paket terima foto alamat ntah dmna tidak sesuai alamat yg tera alamat kantor daihatsu
1,"gak jelas banget jam operasionalnya
di maps dibikin buka setiap hari
datang di hari sabtu dan minggu ternyata gak buka …",JNE,Aceh,2024-03-25,tidak banget jam operasional maps bikin buka sabtu minggu tidak buka
1,"Barang masih belom saya terima kok main ubah status Deliver segala. Padahal saya beli online ni, dah barang belom sempat check status pesanan saya di toko online udah status konfirmasi pula, itupun limit 1hari 12 jam kalau gak auto terkonfirmasi.",JNE,Aceh,2020-01-21,barang belum terima main ubah status deliver beli online ni dah barang belum check status pesan toko online status konfirmasi itu limit jam tidak auto konfirmasi
3,"Pelayanannya kurang maksimal, Karyawannya Kurang.
Para konsumer harus menunggu lama padahal barangnya sudah ada.
Terkadang sering ditunda distribusinya.
Area parkir memadai.",JNE,Aceh,2019-01-21,layan maksimal karyawannya konsumer tunggu lama barang terkadang tunda distribusi area parkir pada
1,"Status barang “pesanan sedang diantar ke alamat tujuan” berhari hari. Mau di tlpon call centernya cuman suruh nunggu trus, dan mastiin klau bakal sampai di hari yg sama terus. Kacauuu, kita jadi engga bisa nentuin wktu yg tepat untuk …",JNE,Aceh,2024-01-20,status barang pesan antar alamat tuju hari tlpon call centernya cuman suruh nunggu trus mastiin klau yg kacau engga nentuin wktu yg tepat
1,"Nggak jelas karyawan nya,masak iya status uda sampai tapi paket nya belum sampai kesaya,pihak JNE liat dong karyawan nya gimana sih,nggak jelas",JNE,Aceh,2021-01-20,tidak karyawan nya masak iya status uda paket nya belum saya jne liat  karyawan nya gimana sih tidak
5,Pelayanan nya baik pengiriman juga sesuai 😁 …,JNE,Aceh,2024-08-22,layan nya kirim sesuai
1,Pelayanan kurir sangat tidak punya Attitude. Padahal saya member di Jne pokok nya sangat kecewa,JNE,Aceh,2024-05-24,layan kurir tidak attitude member jne pokok nya kecewa
1,"Ga jelas.. udh ngantar ngetuk pintu rmh, udh dijawab dblg sbntr eh kurirnya malah prgi gtu aja ga nungguin. Di pelacakan pengiriman malah dibuat keterangan kalo org yg pesan ga jelas. Apa salah sabar sbntr dan ngehubungi nmr hp setiap …",JNE,Aceh,2023-01-20,tidak udh ngantar ngetuk pintu rmh udh dblg sbntr eh kurir prgi gtu tidak nungguin lacak kirim terang org yg pesan tidak salah sabar sbntr ngehubungi nmr hp
1,"JNE kaya hidup segan mati gak mau masak barang kita sudah seminggu sampai ke Banda Aceh tapi belum diantar juga ke rumah pas kita ke kantornya malah dibilang barangnya sma kurir, eh pas kita minta jemput sendiri ke kurinya malah dibilang …",JNE,Aceh,2023-01-20,jne kaya hidup segan mati tidak masak barang minggu banda aceh belum antar rumah pas kantor bilang barang sma kurir eh pas jemput kur bilang
1,"Pengiriman gak jelas. Salah alamat tapi ga mau tanggung jawab. Pdahal alamat di tunu udah jelas, nama penerima dan no telp penerima jelas sekali. Di minta tanggung jawab malah menghindar!",JNE,Aceh,2024-02-24,kirim tidak salah alamat tidak tanggung pdahal alamat tunu nama terima no telp terima tanggung hindar
3,"Reviu sebelumnya salah tempat. Untuk JNE ini cukup bintang 3 saja rating saya. Status tracking sering tidak update dan terkesan malas update. Jadi status barang biasanya cukup ditulis ""barang sedang dikirim"" tanpa ada keterangan tambahan …",JNE,Aceh,2022-01-20,reviu salah jne bintang rating status tracking tidak update kes malas update status barang tulis barang kirim terang tambah
5,Ngambil paket harus kemari. Padahal dah ditunggu.. tempatnya luas dan banyak mobil jne disini...  semoga setiap barang yang masuk cepat diantar ke tempat penerimanya.. kinerjanya baik dan kedepannya harus ditinggalkan lagi.. …,JNE,Aceh,2024-01-20,ngambil paket kemari dah tunggu tempat luas mobil jne moga barang masuk cepat antar terima kerja depan tinggal
1,"Era kejayaan JNE mungkin 10 tahun lalu. Sempat terdepan sekarang malah bikin ribet. Paket sudah sampai diperam dulu di gudang, dibuat status sudah dengan kurir diantar kerumah bahkan status sudah dengan pemilik rumah. Padahal sampai 3 hari …",JNE,Aceh,2022-01-20,era jaya jne depan bikin ribet paket peram gudang status kurir antar rumah status milik rumah
1,"Pelayanan dulu bagus, begitu paket saya sampai langsung ke gudang JNE bisa ambil disitu dan sudah di input. …",JNE,Aceh,2022-01-20,layan bagus paket langsung gudang jne ambil situ input
1,Pelayanan yang sangat buruk dan tidak jelas. Paket sudah di sampai di gundang tanggal 16 sampai hari ini belum sampai di tangan. Kemaren tanggal 18 ke gudang katanya paket sedang di antar tunggu saja dirumah. Sampai sore tunggu engg di …,JNE,Aceh,2022-01-20,layan buruk tidak paket gundang tanggal belum tangan kemaren tanggal gudang paket tunggu rumah sore tunggu engg
1,"makin hari makin buruk. mau ngambil barang sendiri aja kyk ngemis2. di tunggu ga di anter, besok ke jne kata nya dtg besok lagi aja karena masih di gudang. giliran besok nya datang. di suruh tunggu d rmh aja. tar di anter ke rmh. barang …",JNE,Aceh,2021-01-20,buruk ngambil barang kyk ngemis tunggu tidak anter besok jne nya dtg besok gudang gilir besok nya suruh tunggu d rmh tar anter rmh barang
1,"Parah daah JNE Aceh, paket belum diterima tapi status dibuat selesai, saya datang ke kantor cabang terdekat disuruh ke kantor cabang b, c, sampai ke kantor operasional jne aceh (gudang), sampe sana ngantri lama karena petugasnya gaktau ntah …",JNE,Aceh,2022-01-20,parah jne aceh paket belum terima status selesai kantor cabang dekat suruh kantor cabang b c kantor operasional jne aceh gudang sana antri lama tugas tidak
1,"Siang ini dikabarkan paket saya udah sampe di Banda Aceh, trus tracking di webnya katanya jam 17.38 udah diterima di saya. Nama penerimanya 'TS'. Saya tidak merasa sudah menerima paket, jadi besoknya saya datangi ke gudangnya, ternyata …",JNE,Aceh,2021-01-20,siang kabar paket sampe banda aceh trus tracking webnya jam terima nama terima ts  tidak terima paket besok datang gudang
1,"Sangat buruk, pihak JNE terlalu mengundur waktu. Dan yg bikin kecewa lagi pihak JNE malah mengklaim ke tokopedia bahwa barang sudah saya terima. Ini tentu sangat merugikan pembeli karna tokopedia akan secara otomatis mengklaim bahwa …",JNE,Aceh,2019-01-21,buruk jne undur waktu yg bikin kecewa jne klaim tokopedia barang terima rugi beli karna tokopedia otomatis klaim
1,"JNE DENGAN KUALITAS TERJELEK, SAYA SARANKAN JANGAN PERNAH KIRIM BARANG DARI SINI, pakai saja servis lain jika tidak mau kecewa. …",JNE,Aceh,2020-01-21,jne kualitas jelek saran jangan kirim barang pakai servis tidak kecewa
1,"Barangny selalu telat. Kurir gak menghubungi kalo barang ud nyampe. Sekali ny nelpon malah bentak customer. No manner. Buruk. Mengecewakan. Baru2 ini barang saya ud nyampe dr tnggal 1, tpi sampai detik ini blum juga diantar. Parah. Parah. Jasa kurir jenis begini shrusny gak digunain lgi. Gak ngerti knpa masi bnyak toko online yg pake.",JNE,Aceh,2019-01-21,barangny telat kurir tidak hubung barang ud nyampe ny nelpon bentak customer no manner buruk kecewa barang ud nyampe dr tnggal tpi detik blum antar parah parah jasa kurir jenis shrusny tidak digunain lgi tidak erti knpa mas bnyak toko online yg pake
1,"maaf yah terpaksa nulis krna sdh berulang kali , brang smpai melebihi estimasi y tertera, setelah di gudang ga dianter2 kerumah, pdahal sdh bayar sampai alamat rumah,  pas kita ke gudang petugasnya marah2 , mohon donk kerja samanya , tingkatkan lagi pelayanannya ,",JNE,Aceh,2022-01-20,maaf yah paksa nulis krna sdh ulang kali brang smpai lebih estimasi y tera gudang tidak anter rumah pdahal sdh bayar alamat rumah pas gudang tugas marah mohon donk kerja sama tingkat layan
1,"Barang udah smpe tpi gk mau diantar , tlfn malah nyuruh saya dtngin dia , saya tdk bisa ambil krna sedng dikntr malah dsrh krm ke kntr lah gda sopan sntun bgt , biasa jga diantr krmh , ditlfn kebskn nya malah mrh2 jelek bgt pelayanan nya",JNE,Aceh,2022-01-20,barang smpe tpi gk antar tlfn nyuruh dtngin tdk ambil krna sedng dikntr dsrh krm kntr  gda sopan sntun bgt jga diantr krmh ditlfn kebskn nya mrh jelek bgt layan nya
1,saya sungguh menyesalkan dengan pelayanan JNE . orderan saya di shoope dianggap selesai padahal saya belum menerima barangnya. dan setelah saya telusuri barangnya masih di gudang JNE. jika tidak mau mengantr tolong telpon yang empunya paket …,JNE,Aceh,2021-01-20,sungguh sesal layan jne order shoope anggap selesai belum terima barang telusur barang gudang jne tidak mengantr tolong telpon empunya paket
1,"PELAYANAN YANG SANGAT TERAMAT BURUK ZONK

saya mengirim barang dari jakarta dengan JTR estimasi 10 hari paling lama, sudah …",JNE,Aceh,2022-01-20,layan amat buruk zonk kirim barang jakarta jtr estimasi lama
1,"Terlalu sering mengecewakan. Status barang sudah sampai di kurir pagi tapi gak sampe2 di tangan.
Barang belum sampe di tangan, tapi di status pemesanan E-Commerce sudah selesai. …",JNE,Aceh,2020-01-21,kecewa status barang kurir pagi tidak sampe tangan barang belum sampe tangan status mesan e commerce selesai
1,"Apakah JNE tidak melayani lagi Paket COD? Paket saya di return sepihak oleh JNE, Status ""Paket dikembalikan kepada pengirim"" dengan alasan ditolak oleh penerima, padahal kurir belum pernah antar paket tersebut ke alamat saya dan juga belum …",JNE,Aceh,2021-01-20,jne tidak layan paket cod paket return jne status paket kembali kirim alas tolak terima kurir belum paket alamat belum
1,"Pengiriman sangat teramat buruk.. Waktu cek resi barangnya udah sama kurir dari jam 2 siang.. Tapi ane tunggu sampe jam 12 malam tetap ga dateng paketny..
Ada sih di miscall sama kurir.. Habis itu ane telpon balik tetap gadiangkat... Kapok ane sama pelayanannya...",JNE,Aceh,2019-01-21,kirim amat buruk waktu cek resi barang kurir jam siang ane tunggu sampe jam malam tidak dateng paketny sih miscall kurir habis ane telpon gadiangkat kapok ane layan
1,"Pengiriman yang dilakukan tidak memuaskan, malah sangat mengecewakan. Barang yang harusnya sudah diantar malah tidak diantar dan di sistem diinput kalau rumah kosong padahal di rumah selalu ada orang. Saat dikonfirmasi dan komplain, malah …",JNE,Aceh,2020-01-21,kirim tidak muas kecewa barang antar tidak antar sistem diinput rumah kosong rumah orang konfirmasi komplain
1,"Pelayanan nya jelek..setiap pesan brg tdk mw d antar k alamat dengan alsan alamat tdk lengkap, pdhl puluhan x belanja brg d kirim k alamat ini selalu sampai brgnya ,tp knp JNE Banda Aceh sellu mengklaim alamat yg d tuju tdk lengkap? Apa …",JNE,Aceh,2022-01-20,layan nya jelek pesan brg tdk mw d k alamat alsan alamat tdk lengkap pdhl puluh x belanja brg d kirim k alamat brgnya tp knp jne banda aceh sellu klaim alamat yg d tuju tdk lengkap
1,"nyampek warehouse tanggal 5 agustus 2021, skrg uda tanggal 7 agustus 2021 barang belum di antar kerumah, padahal lokasi rumah saya lambhuk, dekat dengan gudang, mana besok minggu, terpaksa ke gudang tanggal 9 (senin) nya.. mana ada penting …",JNE,Aceh,2022-01-20,nyampek warehouse tanggal agustus skrg uda tanggal agustus barang belum rumah lokasi rumah lambhuk gudang besok minggu paksa gudang tanggal senin nya
1,"Paket saya sampe sekarang engga ada kabar , paket udah seminggu yang lalu kalo jnt ini mah udah fast respon udah gerak cepat untuk pengantarannya dan juga ditelpon oleh kurirnya dari pihak jne tingkat ditelpon aja engga apalagi diantar",JNE,Aceh,2022-01-20,paket sampe engga kabar paket minggu jnt mah fast respon gerak cepat antar telpon kurir jne tingkat telpon engga antar
1,"Lama banget JNE nya udh berapa kali begitu g sesuai dgn tgl yg di tentukan , terus kurirnya marah marah lagi padahal kan saya pas di telepon langsung angkat . Tapi mungkin kurir nya capek seharian , tapi bisa kan g perlu marah marah",JNE,Aceh,2022-01-20,lama banget jne nya udh kali g sesuai dgn tgl yg tentu kurir marah marah pas telepon langsung angkat kurir nya capek hari g marah marah
2,"Pelayanannya buruk... Nada bicara petugas cenderung menggertak, informasi tidak jelas. Meminta konsumen untuk mengambil baramg di gudang, sampai di gudang di tolak krn tidak didampingi petugas... Di lain waktu mengatakan bahwa barang sedang …",JNE,Aceh,2021-01-20,layan buruk nada bicara tugas cenderung gertak informasi tidak konsumen ambil baramg gudang gudang tolak krn tidak damping tugas waktu barang
1,"Paket saya sampai banda Aceh tanggal 2 febuari katanya alamat tidak lengkap padhl alamatnya jelas jelas saya tulis.
Habis itu tidak di tlpon nya. …",JNE,Aceh,2022-01-20,paket banda aceh tanggal febuari alamat tidak lengkap padhl alamat tulis habis tidak tlpon nya
2,"JNE banda aceh sangat tidak profesional, banyak kurirnya asal kerja, alamat gak nemu gak nelpon no yng ada di paket, disamperin le kantor org ngantri lama... coba tolong perhatiannya..",JNE,Aceh,2021-01-20,jne banda aceh tidak profesional kurir kerja alamat tidak nemu tidak nelpon no yng paket disamperin le kantor org ngantri lama coba tolong perhati
1,"Cacat ni JNE nya, barangnya udah di banda aceh 5 hari,, tp belum aku terima.. malah pas di tracking bilangnya rumah aku kosong.. serius ngga ni ?? dirumah ada orang 24 jam,, terus kalo emg kosong knp ngga telpon pas kuris smpai depan rumah …",JNE,Aceh,2020-01-21,cacat ni jne nya barang banda aceh tp belum terima pas tracking bilang rumah kosong serius tidak ni rumah orang jam emg kosong knp tidak telpon pas kur smpai rumah
1,"Pelayanannya sangat buruk, bukan satu atau dua kali ini udah ke tiga kalinya, begini jadi saya kirim paket dari Bna ke Sigli tapi udah mau seminggu paketnya masih di banda pass di cek di resi paket anda sudah diterima oleh pihak JNE....",JNE,Aceh,2021-01-20,layan buruk kali kali kirim paket bna sigli minggu paket banda pass cek resi paket terima jne
1,Pelayanan mengecewakan.. barang sudah sampai 3 hari.. tapi kurir tidak mengantarkan kepada saya.. tolong lah kalo kerja yang jelas. Jgn Nerima uang aja yg cepat.. kerja tolong cepat juga,JNE,Aceh,2021-01-20,layan kecewa barang kurir tidak antar tolong  kerja jgn nerima uang yg cepat kerja tolong cepat
3,"Hallo bpk/ibu
Saya salah satu pemakai jasa shipping dari perusahaan JNE
Mau berikan masukan boleh ya pak/bu ? …",JNE,Aceh,2022-01-20,hallo bpk salah pakai jasa shipping usaha jne masuk ya bu
